ID,Term,NewDefinition,Scores,AccessTime
0,mitigate,"使緩和
使減輕","0.8328671361
0.8328671361","2025-06-22
2025-06-22"
1,anomalous,"異常的
不規則的
反常的","0.8679590792
0.8679590792
0.8679590792","2025-06-22
2025-06-22
2025-06-22"
2,sanguine,"樂觀的
充滿希望的
面色紅潤的","0.8356495336
0.8356495336
0.8356495336","2025-06-22
2025-06-22
2025-06-22"
3,meticulous,"一絲不苟的
非常仔細的
嚴謹的","0.9861273395
0.9861273395
0.9861273395","2025-06-28
2025-06-28
2025-06-28"
4,undermine,"逐漸削弱
損害
挖…的牆腳","0.9845859328
0.9845859328
0.9845859328","2025-06-28
2025-06-28
2025-06-28"
5,innocuous,"無害的
不冒犯的","0.7489133773
0.7489133773","2025-06-28
2025-06-28"
6,specious,"似是而非的
華而不實的
貌似有理的","0.8890109181
0.8890109181
0.8890109181","2025-06-28
2025-06-28
2025-06-28"
7,conventional,"傳統的
習俗的
常規的
守舊的","0.823140864
0.823140864
0.823140864
0.823140864","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
8,rationale,"基本原理
理論依據
邏輯基礎","0.97591552
0.97591552
0.97591552","2025-06-28
2025-06-28
2025-06-28"
9,iconoclastic,"M破除偶像的
M反傳統的
M特立獨行的","0.965077504
0.965077504
0.965077504","2025-06-28
2025-06-28
2025-06-28"
10,forestall,"M預先阻止
M搶先一步
M先發制人","0.9698944
0.9698944
0.9698944","2025-06-28
2025-06-28
2025-06-28"
11,champion,"M冠軍
M擁護者
M支持者
M擁護
M支持","0.956992
0.956992
0.956992
0.956992
0.956992","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
12,esoteric,"M秘傳的
M深奧難懂的
M只有少數人能理解的","0.918208
0.918208
0.918208","2025-06-28
2025-06-28
2025-06-28"
13,paucity,"M少量
M缺乏
M不足","0.74624
0.74624
0.74624","2025-06-28
2025-06-28
2025-06-28"
14,paradox,"M悖論
M似是而非的說法
M自相矛盾的情況","0.842656
0.842656
0.842656","2025-06-22
2025-06-22
2025-06-22"
15,confound,"使困惑
使混淆
證明…有錯","0.94624
0.94624
0.94624","2025-03-09
2025-03-09
2025-03-09"
16,enigma,"謎
難以理解的人或事物","0.94624
0.94624","2025-03-09
2025-03-09"
17,innocence,"清白
無罪
天真
單純","0.94624
0.94624
0.94624
0.94624","2025-03-09
2025-03-09
2025-03-09
2025-03-09"
18,opaque,"不透明的
不透光的
難懂的
模糊的","0.94624
0.94624
0.94624
0.94624","2025-03-09
2025-03-09
2025-03-09
2025-03-09"
19,belie,"掩飾
證明…是錯的
與…不符","0.94624
0.94624
0.94624","2025-03-09
2025-03-09
2025-03-09"
20,pragmatic,"務實的
實用主義的","0.94624
0.94624","2025-03-09
2025-03-09"
21,thwart,"阻撓
阻止
挫敗","0.854592
0.854592
0.854592","2025-06-22
2025-06-22
2025-06-22"
22,superfluous,"多餘的
不必要的","0.94624
0.94624","2025-03-10
2025-03-10"
23,repudiate,"拒絕承認
否認
駁斥
拒絕履行","0.842656
0.842656
0.842656
0.842656","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
24,redundant,"多餘的
不必要的
被解僱的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
25,capricious,"反覆無常的
任性的","0.94624
0.94624","2025-03-10
2025-03-10"
26,eschew,"避開
戒除","0.94624
0.94624","2025-03-10
2025-03-10"
27,sporadic,"偶爾發生的
零星的","0.94624
0.94624","2025-03-10
2025-03-10"
28,taciturn,"沉默寡言的
不愛說話的","0.94624
0.94624","2025-03-10
2025-03-10"
29,exacerbate,"使惡化
使加劇","0.94624
0.94624","2025-03-10
2025-03-10"
30,discern,"辨別
察覺
領會","0.81824
0.81824
0.81824","2025-03-09
2025-03-09
2025-03-09"
