Term,Definition
mitigate," 使緩和、減輕
v. make (sth) less severe, violent or painful; moderate
"
anomalous," 反常的、不規則的
[類]aberrant, deviant, heteroclite, preternatural
adj. different from what is normal; irregular
"
sanguine," 自信樂觀的
[類]confident, optimistic
adj. (about sth/that...)hopeful; optimistic
"
meticulous," 小心翼翼地、一絲不苟的
adj. giving or showing great precision and care; very attentive to detail
"
undermine," 削弱
v. make a hollow or tunnel beneath (sth); weaken at the base
"
innocuous," (行為、言論)無害的
adj. causing no harm
"
specious," 似是而非的、華而不實的
adj. seeming righter true but actually wrong or false
"
conventional," 傳統的、習慣的、慣例的
adj. (often defog) based on convention
"
rationale," 根本原因、邏輯依據
n. fundamental reason for or logical basis of sth
"
iconoclastic," 偶像破壞的、打破舊習的
"
forestall," 先發制人、預先阻止
v. act before so as to prevent him from doing sth
"
champion," 為...而戰、支持、捍衛
v. to fight or speak publicly in support of (a person, belief, cause, etc.)
"
esoteric," 圈內人才明白的、神秘難懂的
adj. likely to be understood by only those with a special knowledge or interest; mysterious; obscure
"
paucity," 少數、缺乏
[反] profusion(大量), plethora(過剩)
n. (fml) smallness of number or quantity
"
paradox," 悖論、似是而非的議論
n. statement that seems to be absurd or contradictory but is or may be true
"
confound," 使混亂、使困惑
[類] perplex
v. puzzle and surprise (sb); perplex
"
enigma," 難以理解的事物、謎
[類] conundrum
n. question, person, thing, circumstance, etc that is difficult to understand; mystery
"
innocence," 無辜、清白
n. quality or state of being innocent
"
opaque," 不透明的、難懂的
adj. not allowing light to pass through; not transparent
"
belie," 掩蓋、與...不一致
[類] mask
v. give a false idea of (something); show (something) to be false or wrong
"
pragmatic," 務實的
adj. treating things in a sensible and realistic way; concerned with practical results
"
thwart," 阻撓、阻礙
[反] foment(煽動), bolster(支持)
v. prevent doing what he intends; oppose ( a plan, etc) successfully
"
superfluous," 多餘的、累贅的
adj. more than is needed or wanted
"
repudiate," 否認、拒絕、拋棄
[類] reject(拒絕), recant(撤回自己主張)
v. refuse to have any more to do with (sb); disown
"
redundant," 多餘的、累贅的
adj. not needed; superfluous; unnecessary
"
capricious," 變化無常的、任性的
[類]erratic
adj. characterized by sudden changes in attitude or behavior; unpredictable; impulsive
"
eschew," 避開
v. keep away from (sth); abstain from; avoid
"
sporadic," 零星的
[類]occasional, infrequent, irregular
[反]incessant, constant
adj. happening or seen only occasionally or in a few places; occurring irregularly
"
taciturn," 沈默的
[反]loquacious(多話的), prolix(囉唆的)、voluble(多話的)
adj. saying very little; uncommunicative
"
exacerbate," 加重、惡化
v. make (pain, disease, a situation) worse; aggravate
"
discern," (費力地)識別、看出
v. see clearly (with the senses or the mind), esp with an effort
"
preclude," 避免、排除
v. sb from doing sth prevent (sth, or sb doing sth); make (sth) impossible
"
cynical," 憤世忌俗的、自私的
adj. of or like a cynic
"
perfunctory," 草率的、敷衍的
adj. (of an action) done as a duty or routine, without care or interest
"
lucid," 清楚易懂的、明晰的
[類] limpid
adj. clearly expressed; easy to understand
"
apathetic," 無感情的
[類] n. apathy
adj. showing or felling apathy
"
contentious," 好辯的、善爭吵的
[類]n. contention 爭論、爭辯, v. content 競爭、主張
exhibiting an often perverse and wearisome tendency to quarrels and disputes
"
mundane," 平凡的、乏味的
adj. ordinary and typically unexciting
"
panacea," 萬靈丹
n. remedy for all diseases or troubles
"
polemical," 爭論的、辯論的
[類]polemic, controversial
[反]conciliatory(撫慰調和的)
adj. of polemics
"
qualify," 使有資格、限制
v. (sb)(for/as sth) have or give (sb) the qualities, training, etc that are necessary or suitable (for sth)
"
reticent," 無言的、沈默的
adj. not revealing one's thoughts or feelings easily; reserved
"
inimical," 有敵意的、不合的
adj. (fml) unfriendly; hostile
"
arbitrary," 專橫的、不理智的
adj. based on personal opinion or impulse, not on reason
"
augment," 增加
v. make (sth) larger in number or size; increase
"
disdain," 輕蔑、鄙視
[類] scorn, despise, spurn
[反] respect, admire, praise
n. feeling that sb/sth is not good enough to deserve one's respect; contempt
"
orthodox," 正統的、傳統的、習俗的、通常的
adj. generally accepted or approved
"
obfuscate," 使困惑、使迷糊
v. (deliberately) make (sth) confused or difficult to understand
"
disingenuous," 不誠實的、虛偽的
adj. insincere, esp in pretending that one knows less about sth than one really does
"
conjecture," 推測、臆測
v. (fml) form (and express) an opinion not based on firm evidence; guess
"
pellucid," 清晰的、清澈的
[類]limpid
adj. transparentor translucent; very clear
"
disparate," 不同的、異類的
adj. so different in kind or degree that they cannot be compared
"
explicit," 詳盡的、清楚的、明確的
adj. (of a statement, etc) clearly and fully expressed
"
scrutinize," 詳細檢查、細讀
examine closely and critically
"
synthesize," 綜合、合成
"
trepidation," 恐懼、惶恐
n. great worry or fear about sth unpleasant that may happen
"
pervasive," 瀰漫的、遍佈的
adj. present and perceived everywhere; pervading
"
fastidious," 挑剔的、過分講究的
adj. selecting carefully; choosing only what is good
"
ostensible," 外表的、假裝的
[類]apparent(表面上的), plausible(似乎是真的), specious(似是而非的)
[反] actual
adj. stated though perhaps not true; apparent
"
trivial," 瑣碎的、微不足道的
adj. that has little importance
"
idiosyncratic," adj. 有特性的;特質的;獨特的
"
eclectic," 折衷的、綜合性的
adj. (of people, beliefs, etc) not restricted to one source of ideas, etc, but choosing from or using a wide range
"
laconic," 簡短的
adj. using few words; terse
"
partisan," (黨派)支持者、黨徒
n. enthusiastic and often uncritical supporter of a person, group or cause
"
suppress," 鎮壓、抑制
v. put an end to (sth), esp by force; crush
"
erudite," 博學的
adj. having or showing great learning; scholarly
"
abstruse," 深奧的、難懂的
adj. difficult to understand
"
ambivalent," 矛盾的
adj. having or showing mixed feelings about a certain object, person or situation
"
veritable," 確實的、名副其實的
adj. rightly named or called; real
"
arcane," 秘密的、深奧難懂的
requiring secret or mysterious knowledge
"
paradigm," 範例、典範
n. set of all the different forms of a word
"
sarcastic," 諷刺的、挖苦的
adj. of or using sarcasm
"
audacious," 大膽的、無謂的、愚勇的
[類]daredevil
adj. showing a willingness to take risks; daring; fearless
"
benign," 良性的、無害的
adj. kindly; gentle
"
candid," 率直的
adj. not hiding one's thoughts; frank and honest
"
condemn," 責難、譴責
v. sb/sth say that one disapproves of sb/sth
"
equivocal," 模稜兩可的、不明確的、不確定的
adj. having a double or doubtful meaning; ambiguous
"
aesthetic," 美學的、有審美感的
"
engender," 使產生、引起
v. be the cause of (a situation or condition)
"
ameliorate," 使改善、改進
[類]v. meliorate 改進、改善
v. (cause sth to) become better
"
comprehensive," 全面的、綜合的
adj. that includes everything
"
circumscribe," 限制
v. restrict (sth) within limits; confine
"
antithetical," 相反的、對立的
[類] n. antithetical
"
verified," 檢驗的、核實的
verify: to prove to be true; confirm; substantiate
"
vitiate," 削弱、破壞、損害
v. weaken or spoil the quality or efficiency of (sth)
"
adulation," 諂媚、奉承
[類] v. adulate
[反] n. opprobrium 譴責、咒罵
"
garrulous," 喋喋不休的
[類] talkative, loquacious, voluble, verbose
[反] taciturn, reticent, concise
adj. talking too much, esp about unimportant things
"
loathe," 痛恨
v. feel great hatred or disgust for (sb/sth)
"
whimsical," 怪誕的、異想天開的、反覆無常的
adj. full of whimsy; fanciful, playful or capricious
"
zealous," 熱情的、狂熱的
adj. full of zeal; eager
"
deft," 靈巧的
adj. skillful and quick, esp with the hands
"
benefactor," 行善者、捐助者
n. person who gives money or other help to a school, hospital, charity, etc
"
reciprocity," 相互性、互惠
n. principle or practice of mutual exchange, esp of making concessions or granting privileges, etc in return for concessions or privileges received
"
solicit," 懇求、請求、招攬
v. ask for earnestly; try to obtain (sth)
"
recondite," 深奧的(隱藏起來不外露)
adj. (of subjects) like known or understood; obscure
"
preempt," 已先買權取得、取代
to replace with something considered to be of greater value or priority; take precedence over
"
homogeneous," 同種的、同值得
adj. formed of parts that are all of the same type
"
ingenuous," 純樸的、單純的
adj. not attempting to deceive or conceal; open ; innocent
"
insular," 島嶼的、心胸狹窄的
adj. of an island
"
relinquish," 放棄、廢除
v. give up or cease to practice, feel, etc (sth); abandon
"
elude," 逃避、躲避
v. escape (sb/sth), esp by a trick or cleverness; avoid
"
magnanimous," 寬大的、有雅量的
adj. having or showing great generosity
"
plenitude," 充分、完全
[類] abundance
a full supply
"
precarious," 不穩的、危險的
adj. depending on chance; uncertain
"
approbation," 稱讚、認可、批准
[類] a. approbatory
[反] disapprobation
n. approval; consent
"
pugnacious," 愛爭吵的、愛鬥爭的
adj. inclined or eager to fight; aggressive
"
corroborate," 證實、確證
[類] a. corroborative 確證的
v. confirm or give support to
"
transcendent," 超越的、卓越的
"
circumspect," 慎重的、謹慎小心的
adj. considering everything carefully before acting; cautious; wary
"
tendentious," 有偏見的、傾向性的
adj. (of a speech, a piece of writing, etc) aimed at helping a cause; not impartial
"
temperate," (氣候)溫和的、(飲食)適度的
adj. behaving with temperance; showing self-control
"
intrigue," 密謀、引起極大興趣
v. (against sb) make and carry out secret plans or plots to do sth bad
"
extravagant," 奢侈的、揮霍的
adj. using or spending too much; (of actions) showing this tendency
"
verbose," 囉唆的、冗長的
[類] prolix(囉唆的), superflous(多餘的、過剩的)
adj. using or containing more words than are needed
"
obviate," 排除、消除(困難)
v. remove (sth); get rid of
"
abridge," 縮短、刪節
v. make shorter, esp by using fewer words; condense
"
analogous," 可類比的、類似的
[類] n. analogy
adj. partially similar or parallel; offering an analogy
"
discontinuity," 不連續性、不一致
"
intrinsic," 本質的、固有的
adj. belonging naturally; existing within, not coming form outside
"
